-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
20.mb,9,7,9,11,14,7,7,11,13,13,11,13,11,8,8,15,14,13,11,15,9,11,13,13,10,10,12,13,11,8,6,12,12,6,3,9,9,5,1,5,6,3,0,5,5,4,4,4,5,2,2,0,3,7,7,5,0,4,4,2
50.mb,6,10,12,10,6,8,6,5,12,11,8,2,8,9,7,5,3,6,4,1,0,2,4,7,6,6,3,2,6,5,5,2,4,6,4,2,2,1,5,4,3,2,3,4,5,3,1,3,4,4,4,0,3,3,4,5,3,0,3,2
100.mb,36,40,39,37,33,30,25,25,35,37,32,22,23,27,28,26,28,32,32,28,27,26,29,28,29,29,28,30,30,31,31,30,27,26,28,25,24,25,28,30,28,27,30,31,28,28,30,27,26,27,28,26,21,22,23,27,30,33,33,30
150.mb,47,59,60,55,54,51,55,63,60,65,64,61,60,58,58,54,52,55,57,50,44,54,53,47,51,51,54,53,47,44,49,47,41,36,39,41,40,41,45,42,39,38,37,35,38,43,48,50,49,42,40,38,40,46,48,48,46,49,53,55
200.mb,61,66,73,80,79,71,87,87,81,82,88,88,80,83,87,84,81,86,84,72,79,77,78,75,80,80,86,71,56,56,61,57,52,45,51,56,47,46,43,46,45,44,44,48,56,47,51,56,62,62,62,63,68,68,70,74,72,69,63,60
250.mb,63,86,96,82,78,78,88,94,90,91,95,101,105,114,114,103,88,84,87,79,80,88,87,80,91,91,95,84,82,73,79,63,58,47,49,52,46,44,43,45,42,42,40,45,50,49,55,54,55,57,62,59,66,65,65,64,61,61,55,59
300.mb,66,101,112,92,75,73,78,80,82,85,90,98,93,109,97,88,85,82,84,81,76,80,76,73,91,91,84,79,67,69,63,62,53,49,48,49,47,42,42,42,41,40,40,43,49,50,54,55,50,54,57,57,60,56,60,60,57,55,54,56
350.mb,56,86,106,84,67,64,66,74,70,80,84,91,85,86,89,78,80,77,79,77,74,70,71,69,80,80,84,71,62,58,56,54,46,47,47,51,46,41,44,45,43,43,43,44,48,49,53,54,52,51,54,56,56,57,57,54,54,56,58,53
400.mb,45,74,100,81,67,61,60,61,63,69,79,88,77,75,87,77,72,65,67,71,70,65,64,68,77,77,78,63,59,47,51,49,43,47,48,53,50,43,44,48,49,47,45,46,49,50,51,51,49,48,50,55,53,54,52,46,48,49,54,53
450.mb,35,60,91,81,66,57,58,57,57,62,74,77,70,69,74,74,70,61,55,61,61,61,59,63,67,67,75,57,52,49,50,48,44,46,46,52,50,45,47,50,50,46,46,47,46,49,51,50,44,46,46,51,52,44,42,38,38,46,49,49
500.mb,31,50,74,73,61,55,53,51,53,57,66,72,65,62,62,60,59,57,49,47,49,51,52,53,55,55,70,58,48,47,47,50,47,47,47,49,49,47,47,49,47,45,44,44,44,46,48,49,45,44,44,46,48,42,37,33,32,36,43,45
550.mb,29,43,51,61,53,52,48,46,50,53,57,66,58,54,54,50,47,49,43,39,40,42,43,47,48,48,56,54,46,41,42,46,45,45,45,45,47,45,44,45,45,44,42,42,42,43,45,45,43,42,43,42,43,38,36,31,30,31,38,42
600.mb,26,37,43,49,46,47,44,43,45,51,51,56,52,47,47,44,42,42,40,35,36,39,40,43,46,46,45,45,42,37,37,37,40,39,40,39,44,43,41,41,43,41,39,40,40,42,43,42,41,38,39,38,39,35,31,30,25,30,35,37
650.mb,24,29,36,41,38,36,38,39,38,43,49,50,44,37,40,39,38,37,36,32,34,38,37,38,42,42,42,40,36,32,31,30,33,33,35,34,39,39,37,37,39,38,37,38,38,38,40,40,38,35,35,34,33,31,27,24,24,27,31,32
700.mb,23,24,27,30,28,25,25,31,32,38,45,42,33,27,30,31,31,31,32,27,32,32,30,31,33,33,35,32,29,28,27,25,24,27,29,30,32,33,30,31,35,33,31,32,33,36,35,33,33,31,31,30,27,23,20,19,22,23,26,26
750.mb,23,22,24,21,18,16,14,18,29,34,40,37,24,23,20,18,20,23,25,23,28,26,26,21,24,24,25,23,22,19,16,18,20,23,26,24,25,23,21,22,24,27,25,27,25,32,27,22,21,24,21,20,18,13,14,17,16,21,21,20
800.mb,22,19,21,16,15,14,13,15,23,28,32,33,26,24,17,16,13,14,16,14,19,24,23,18,19,19,14,14,10,9,12,12,15,19,22,20,16,18,21,18,17,20,20,20,18,25,22,19,16,16,14,11,9,6,7,10,9,14,14,13
850.mb,19,14,14,13,14,14,14,16,20,19,23,24,27,23,16,17,10,9,10,10,15,22,24,19,16,16,10,8,6,6,11,11,13,14,14,16,13,17,21,20,16,14,14,18,15,20,22,19,16,7,5,4,4,5,6,7,8,8,6,7
900.mb,16,13,11,12,12,12,12,13,14,13,14,17,22,20,13,12,7,6,5,9,12,19,20,19,9,9,8,10,6,5,10,10,10,10,9,10,10,14,18,19,16,13,12,14,14,16,18,17,12,6,5,5,3,4,6,6,5,5,3,3
925.mb,13,12,9,11,11,11,11,11,10,9,11,15,20,18,11,8,5,3,4,9,11,17,17,16,9,9,5,5,6,5,9,8,8,7,7,7,10,13,17,16,12,11,10,10,13,15,17,15,9,5,3,3,3,3,5,6,4,3,2,3
950.mb,10,11,8,10,11,11,10,7,5,7,9,14,18,17,10,5,3,3,4,8,10,15,14,12,8,8,4,3,5,5,8,7,5,5,5,4,9,12,15,13,8,8,6,6,12,13,15,12,7,3,1,2,3,3,5,5,3,2,2,3
975.mb,9,10,7,10,11,10,9,5,4,6,7,13,17,16,10,4,3,3,4,8,9,15,14,12,8,8,4,3,5,5,8,6,4,4,4,4,8,12,15,13,7,7,6,6,11,13,15,12,6,3,1,2,3,3,4,5,2,2,2,2
1000.mb,9,10,7,10,10,10,9,5,4,6,7,13,17,16,10,4,2,3,4,8,9,15,14,12,8,8,4,3,5,5,8,6,4,4,4,4,8,12,15,13,7,7,6,6,11,13,15,12,6,3,1,2,3,3,4,5,2,2,2,2
