Hora,MSLPRESSURE_HPA,TEMPERATURE_2M_DEGC,DEW_POINT_DEGC,TEMPERATURE_500MB_DM,THICKNESS,HEIGHT,PRECIPITATION
0.,1016.0,5.8,4.4,1.9,540.7,553.9,1.64
3.,1017.5,4.7,3.2,0.9,540.3,554.7,0.00
6.,1019.9,4.1,2.6,0.5,540.6,556.9,0.00
9.,1020.7,8.1,1.5,1.1,544.3,561.5,0.00
12.,1019.9,11.7,0.3,3.6,548.9,565.6,0.00
15.,1018.7,13.9,0.2,6.0,552.1,567.8,0.00
18.,1018.8,12.5,1.4,6.2,553.5,569.3,0.00
21.,1021.1,8.1,1.0,5.7,553.1,570.7,0.00
24.,1020.5,7.5,2.2,4.9,553.0,570.1,0.00
27.,1018.6,7.8,2.9,5.0,552.6,568.1,0.14
30.,1018.4,8.1,5.0,4.4,551.8,567.1,0.14
33.,1018.0,10.3,5.7,4.5,551.1,566.1,0.25
36.,1017.7,13.0,5.6,5.3,552.2,567.0,0.00
39.,1016.7,15.4,4.7,7.9,553.6,567.7,0.00
42.,1017.2,13.6,4.7,7.8,553.2,567.6,0.00
45.,1019.7,9.6,4.3,6.4,552.1,568.6,0.00
48.,1020.1,7.5,4.1,5.2,551.7,568.4,0.00
51.,1019.2,6.6,3.7,4.8,551.7,567.6,0.00
54.,1019.3,6.5,3.6,4.9,551.4,567.3,0.00
57.,1017.2,12.3,4.9,5.9,553.2,567.6,0.00
60.,1015.7,14.3,6.2,7.3,554.8,568.1,0.37
63.,1013.6,15.5,8.5,9.2,556.5,567.9,0.34
66.,1013.5,13.2,9.2,8.1,556.0,567.4,0.32
69.,1015.4,10.7,8.5,7.0,554.6,567.5,0.11
72.,1016.1,9.8,7.2,6.5,553.4,566.8,0.00
0.,1016.1,9.8,7.2,6.5,553.4,566.8,0.11
3.,1016.1,7.6,6.2,5.6,553.1,566.6,0.00
6.,1017.9,7.7,5.6,4.7,553.5,568.5,0.00
9.,1018.1,12.1,4.8,5.0,555.6,570.8,0.00
12.,1017.3,16.5,3.7,8.3,558.1,572.7,0.00
15.,1015.9,18.8,1.9,11.1,560.5,573.9,0.00
18.,1016.0,17.2,4.6,12.0,561.9,575.3,0.00
21.,1017.4,12.6,2.4,11.8,562.5,577.1,0.00
0.,1017.4,11.1,3.1,11.3,562.9,577.6,0.00
3.,1016.7,10.0,3.8,11.0,563.0,577.0,0.00
6.,1016.9,10.8,4.3,10.8,563.2,577.4,0.00
9.,1016.3,16.3,6.3,11.3,564.5,578.2,0.00
12.,1015.2,20.9,7.7,13.0,566.2,579.0,0.00
15.,1014.1,21.9,9.6,14.8,566.8,578.7,0.00
18.,1013.9,19.8,10.4,14.7,566.8,578.5,0.00
21.,1015.9,14.9,10.2,13.0,565.5,578.9,0.00
24.,1016.1,12.9,10.1,12.5,564.5,578.0,0.00
27.,1015.4,11.6,9.9,12.2,563.9,576.9,0.00
30.,1015.7,12.1,9.9,11.2,563.2,576.5,0.00
33.,1015.6,16.9,10.7,11.0,563.9,577.1,0.00
36.,1014.8,19.9,11.1,12.4,565.2,577.7,0.00
39.,1013.5,21.3,11.5,14.1,566.0,577.5,0.00
42.,1013.7,19.3,11.7,13.4,565.7,577.3,0.00
45.,1016.3,15.3,10.6,11.3,564.3,578.0,0.00
48.,1016.9,12.4,9.5,9.8,563.4,577.6,0.00
51.,1016.8,10.8,8.2,9.0,562.4,576.5,0.00
54.,1018.7,10.9,7.6,8.1,560.9,576.6,0.00
57.,1018.9,15.5,4.1,8.6,561.2,577.0,0.00
60.,1018.2,19.5,1.6,11.4,562.5,577.8,0.00
63.,1017.0,21.4,3.2,13.6,564.1,578.4,0.00
66.,1016.6,20.4,6.2,14.2,564.9,578.9,0.00
69.,1018.7,14.5,2.7,13.2,564.3,579.9,0.00
72.,1019.2,12.8,3.6,12.5,563.2,579.3,0.00
